[front_panel]
mode=T1 - R1
output=10 dB
gain=15 dB
probe1=2 MHz
probe2=no probe

[measure]
selection=1
samplerate=2
begin=0
end=150
sound speed=2750
units=0

[ascan]
fft filter=0
fft middle=1
fft width=1
fft gate=0
cepstrum filter=0
cepstrum middle=0
cepstrum width=20
cepstrum gate=20

Depth [µs]	Amplitude	HF-filtered	Amplitude-filtered	
7,600E+00	3,049E-02	0,000E+00	0,000E+00	
7,640E+00	3,213E-02	0,000E+00	0,000E+00	
7,680E+00	3,378E-02	0,000E+00	0,000E+00	
7,720E+00	3,530E-02	0,000E+00	0,000E+00	
7,760E+00	3,653E-02	0,000E+00	0,000E+00	
7,800E+00	3,740E-02	0,000E+00	0,000E+00	
7,840E+00	3,784E-02	0,000E+00	0,000E+00	
7,880E+00	3,783E-02	0,000E+00	0,000E+00	
7,920E+00	3,740E-02	0,000E+00	0,000E+00	
7,960E+00	3,660E-02	0,000E+00	0,000E+00	
8,000E+00	3,552E-02	0,000E+00	0,000E+00	
8,040E+00	3,423E-02	0,000E+00	0,000E+00	
8,080E+00	3,282E-02	0,000E+00	0,000E+00	
8,120E+00	3,138E-02	0,000E+00	0,000E+00	
8,160E+00	2,994E-02	0,000E+00	0,000E+00	
8,200E+00	2,857E-02	0,000E+00	0,000E+00	
8,240E+00	2,727E-02	0,000E+00	0,000E+00	
8,280E+00	2,607E-02	0,000E+00	0,000E+00	
8,320E+00	2,497E-02	0,000E+00	0,000E+00	
8,360E+00	2,396E-02	0,000E+00	0,000E+00	
8,400E+00	2,307E-02	0,000E+00	0,000E+00	
8,440E+00	2,230E-02	0,000E+00	0,000E+00	
8,480E+00	2,167E-02	0,000E+00	0,000E+00	
8,520E+00	2,120E-02	0,000E+00	0,000E+00	
8,560E+00	2,090E-02	0,000E+00	0,000E+00	
8,600E+00	2,079E-02	0,000E+00	0,000E+00	
8,640E+00	2,084E-02	0,000E+00	0,000E+00	
8,680E+00	2,105E-02	0,000E+00	0,000E+00	
8,720E+00	2,139E-02	0,000E+00	0,000E+00	
8,760E+00	2,180E-02	0,000E+00	0,000E+00	
8,800E+00	2,224E-02	0,000E+00	0,000E+00	
8,840E+00	2,267E-02	0,000E+00	0,000E+00	
8,880E+00	2,306E-02	0,000E+00	0,000E+00	
8,920E+00	2,336E-02	0,000E+00	0,000E+00	
8,960E+00	2,356E-02	0,000E+00	0,000E+00	
9,000E+00	2,364E-02	0,000E+00	0,000E+00	
9,040E+00	2,360E-02	0,000E+00	0,000E+00	
9,080E+00	2,342E-02	0,000E+00	0,000E+00	
9,120E+00	2,308E-02	0,000E+00	0,000E+00	
9,160E+00	2,259E-02	0,000E+00	0,000E+00	
9,200E+00	2,194E-02	0,000E+00	0,000E+00	
9,240E+00	2,115E-02	0,000E+00	0,000E+00	
9,280E+00	2,031E-02	0,000E+00	0,000E+00	
9,320E+00	1,957E-02	0,000E+00	0,000E+00	
9,360E+00	1,918E-02	0,000E+00	0,000E+00	
9,400E+00	1,949E-02	0,000E+00	0,000E+00	
9,440E+00	2,102E-02	0,000E+00	0,000E+00	
9,480E+00	2,441E-02	0,000E+00	0,000E+00	
9,520E+00	3,042E-02	0,000E+00	0,000E+00	
9,560E+00	3,994E-02	0,000E+00	0,000E+00	
9,600E+00	5,388E-02	0,000E+00	0,000E+00	
9,640E+00	7,314E-02	0,000E+00	0,000E+00	
9,680E+00	9,857E-02	0,000E+00	0,000E+00	
9,720E+00	1,308E-01	0,000E+00	0,000E+00	
9,760E+00	1,704E-01	0,000E+00	0,000E+00	
9,800E+00	2,173E-01	0,000E+00	0,000E+00	
9,840E+00	2,714E-01	0,000E+00	0,000E+00	
9,880E+00	3,321E-01	0,000E+00	0,000E+00	
9,920E+00	3,984E-01	0,000E+00	0,000E+00	
9,960E+00	4,689E-01	0,000E+00	0,000E+00	
1,000E+01	5,421E-01	0,000E+00	0,000E+00	
1,004E+01	6,161E-01	0,000E+00	0,000E+00	
1,008E+01	6,890E-01	0,000E+00	0,000E+00	
1,012E+01	7,589E-01	0,000E+00	0,000E+00	
1,016E+01	8,240E-01	0,000E+00	0,000E+00	
1,020E+01	8,826E-01	0,000E+00	0,000E+00	
1,024E+01	9,334E-01	0,000E+00	0,000E+00	
1,028E+01	9,753E-01	0,000E+00	0,000E+00	
1,032E+01	1,008E+00	0,000E+00	0,000E+00	
1,036E+01	1,031E+00	0,000E+00	0,000E+00	
1,040E+01	1,044E+00	0,000E+00	0,000E+00	
1,044E+01	1,049E+00	0,000E+00	0,000E+00	
1,048E+01	1,045E+00	0,000E+00	0,000E+00	
1,052E+01	1,034E+00	0,000E+00	0,000E+00	
1,056E+01	1,018E+00	0,000E+00	0,000E+00	
1,060E+01	9,968E-01	0,000E+00	0,000E+00	
1,064E+01	9,726E-01	0,000E+00	0,000E+00	
1,068E+01	9,463E-01	0,000E+00	0,000E+00	
1,072E+01	9,190E-01	0,000E+00	0,000E+00	
1,076E+01	8,916E-01	0,000E+00	0,000E+00	
1,080E+01	8,646E-01	0,000E+00	0,000E+00	
1,084E+01	8,382E-01	0,000E+00	0,000E+00	
1,088E+01	8,123E-01	0,000E+00	0,000E+00	
1,092E+01	7,867E-01	0,000E+00	0,000E+00	
1,096E+01	7,608E-01	0,000E+00	0,000E+00	
1,100E+01	7,342E-01	0,000E+00	0,000E+00	
1,104E+01	7,060E-01	0,000E+00	0,000E+00	
1,108E+01	6,758E-01	0,000E+00	0,000E+00	
1,112E+01	6,431E-01	0,000E+00	0,000E+00	
1,116E+01	6,075E-01	0,000E+00	0,000E+00	
1,120E+01	5,691E-01	0,000E+00	0,000E+00	
1,124E+01	5,282E-01	0,000E+00	0,000E+00	
1,128E+01	4,853E-01	0,000E+00	0,000E+00	
1,132E+01	4,414E-01	0,000E+00	0,000E+00	
1,136E+01	3,975E-01	0,000E+00	0,000E+00	
1,140E+01	3,548E-01	0,000E+00	0,000E+00	
1,144E+01	3,145E-01	0,000E+00	0,000E+00	
1,148E+01	2,780E-01	0,000E+00	0,000E+00	
1,152E+01	2,460E-01	0,000E+00	0,000E+00	
1,156E+01	2,193E-01	0,000E+00	0,000E+00	
1,160E+01	1,981E-01	0,000E+00	0,000E+00	
1,164E+01	1,825E-01	0,000E+00	0,000E+00	
1,168E+01	1,720E-01	0,000E+00	0,000E+00	
1,172E+01	1,657E-01	0,000E+00	0,000E+00	
1,176E+01	1,628E-01	0,000E+00	0,000E+00	
1,180E+01	1,621E-01	0,000E+00	0,000E+00	
1,184E+01	1,624E-01	0,000E+00	0,000E+00	
1,188E+01	1,629E-01	0,000E+00	0,000E+00	
1,192E+01	1,627E-01	0,000E+00	0,000E+00	
1,196E+01	1,614E-01	0,000E+00	0,000E+00	
1,200E+01	1,588E-01	0,000E+00	0,000E+00	
1,204E+01	1,551E-01	0,000E+00	0,000E+00	
1,208E+01	1,510E-01	0,000E+00	0,000E+00	
1,212E+01	1,473E-01	0,000E+00	0,000E+00	
1,216E+01	1,451E-01	0,000E+00	0,000E+00	
1,220E+01	1,457E-01	0,000E+00	0,000E+00	
1,224E+01	1,504E-01	0,000E+00	0,000E+00	
