[front_panel]
mode=T1 - R1
output=10 dB
gain=15 dB
probe1=2 MHz
probe2=no probe

[measure]
selection=1
samplerate=2
begin=0
end=150
sound speed=2750
units=0

[ascan]
fft filter=0
fft middle=1
fft width=1
fft gate=0
cepstrum filter=0
cepstrum middle=0
cepstrum width=20
cepstrum gate=20

Distance | Gap | Interval [µs]	Cepstrum	
3,112E+01	5,086E+00	
3,120E+01	8,725E+00	
3,128E+01	3,768E+00	
3,136E+01	3,888E+00	
3,144E+01	4,001E+00	
3,152E+01	5,853E+00	
3,160E+01	8,144E+00	
3,168E+01	5,313E+00	
3,176E+01	4,731E+00	
3,184E+01	7,299E+00	
3,192E+01	4,067E+00	
3,200E+01	2,106E+00	
3,208E+01	3,800E+00	
3,216E+01	2,496E+00	
3,224E+01	4,121E+00	
3,232E+01	9,256E+00	
3,240E+01	2,318E+00	
3,248E+01	1,089E+00	
3,256E+01	4,683E+00	
3,264E+01	6,368E+00	
3,272E+01	8,313E+00	
3,280E+01	9,798E+00	
3,288E+01	8,906E+00	
3,296E+01	4,776E+00	
3,304E+01	5,580E+00	
3,312E+01	3,825E+00	
3,320E+01	6,183E+00	
3,328E+01	6,415E+00	
3,336E+01	5,537E+00	
3,344E+01	8,504E-01	
3,352E+01	6,149E+00	
3,360E+01	4,289E+00	
3,368E+01	8,338E+00	
3,376E+01	4,536E+00	
3,384E+01	4,999E+00	
3,392E+01	2,556E+00	
3,400E+01	6,235E+00	
3,408E+01	6,093E+00	
3,416E+01	4,853E+00	
3,424E+01	5,726E+00	
3,432E+01	6,692E+00	
3,440E+01	7,342E+00	
3,448E+01	6,488E+00	
3,456E+01	4,391E+00	
3,464E+01	2,813E+00	
3,472E+01	5,759E+00	
3,480E+01	3,162E+00	
3,488E+01	5,685E+00	
3,496E+01	6,393E+00	
3,504E+01	3,141E+00	
3,512E+01	1,096E+00	
3,520E+01	2,795E+00	
3,528E+01	5,494E+00	
3,536E+01	5,726E+00	
3,544E+01	6,336E+00	
3,552E+01	6,871E+00	
3,560E+01	7,440E+00	
3,568E+01	4,722E+00	
3,576E+01	2,585E+00	
3,584E+01	3,946E+00	
3,592E+01	1,006E+00	
3,600E+01	5,260E-01	
3,608E+01	4,954E+00	
3,616E+01	5,192E+00	
3,624E+01	1,329E+00	
3,632E+01	3,326E+00	
3,640E+01	1,879E+00	
3,648E+01	2,574E+00	
3,656E+01	5,049E+00	
3,664E+01	8,461E+00	
3,672E+01	3,144E+00	
3,680E+01	9,852E+00	
3,688E+01	7,548E+00	
3,696E+01	7,786E+00	
3,704E+01	1,046E+01	
3,712E+01	3,275E+00	
3,720E+01	7,450E+00	
