[front_panel]
mode=T1 - R1
output=10 dB
gain=25 dB
probe1=2 MHz
probe2=no probe

[measure]
selection=1
samplerate=2
begin=0
end=150
sound speed=2750
units=0

[ascan]
fft filter=0
fft middle=1
fft width=1
fft gate=0
cepstrum filter=0
cepstrum middle=0
cepstrum width=20
cepstrum gate=20

Frequency [MHz]	FFT	
4,517E+00	9,586E-01	
4,529E+00	1,722E+00	
4,541E+00	1,035E+00	
4,553E+00	1,241E+00	
4,565E+00	1,654E+00	
4,578E+00	8,469E-01	
4,590E+00	1,565E+00	
4,602E+00	1,940E+00	
4,614E+00	6,735E-01	
4,626E+00	1,888E+00	
4,639E+00	1,654E+00	
4,651E+00	1,043E+00	
4,663E+00	1,903E+00	
4,675E+00	2,035E+00	
4,688E+00	1,159E+00	
4,700E+00	2,741E+00	
4,712E+00	1,112E+00	
4,724E+00	1,552E+00	
4,736E+00	2,314E+00	
4,749E+00	1,677E+00	
4,761E+00	2,175E+00	
4,773E+00	3,291E+00	
4,785E+00	8,141E-01	
4,797E+00	3,044E+00	
4,810E+00	1,637E+00	
4,822E+00	1,613E+00	
4,834E+00	2,937E+00	
4,846E+00	3,295E+00	
4,858E+00	2,341E+00	
4,871E+00	4,420E+00	
4,883E+00	6,415E-01	
4,895E+00	2,610E+00	
4,907E+00	3,135E+00	
4,919E+00	2,570E+00	
4,932E+00	3,928E+00	
4,944E+00	5,131E+00	
4,956E+00	1,985E+00	
4,968E+00	4,676E+00	
4,980E+00	2,033E+00	
4,993E+00	1,348E+00	
5,005E+00	4,558E+00	
5,017E+00	4,999E+00	
5,029E+00	4,090E+00	
5,042E+00	5,897E+00	
5,054E+00	1,060E+00	
5,066E+00	2,522E+00	
5,078E+00	4,426E+00	
5,090E+00	3,779E+00	
5,103E+00	5,976E+00	
5,115E+00	6,809E+00	
5,127E+00	3,035E+00	
5,139E+00	4,838E+00	
5,151E+00	2,700E+00	
5,164E+00	1,972E+00	
5,176E+00	6,536E+00	
5,188E+00	6,485E+00	
5,200E+00	5,428E+00	
5,212E+00	6,616E+00	
5,225E+00	1,508E+00	
5,237E+00	1,849E+00	
5,249E+00	5,329E+00	
5,261E+00	4,775E+00	
5,273E+00	6,678E+00	
5,286E+00	7,061E+00	
5,298E+00	3,232E+00	
5,310E+00	4,063E+00	
5,322E+00	2,982E+00	
5,334E+00	2,800E+00	
5,347E+00	6,763E+00	
5,359E+00	6,614E+00	
5,371E+00	5,588E+00	
5,383E+00	5,699E+00	
5,396E+00	1,528E+00	
5,408E+00	1,466E+00	
5,420E+00	5,127E+00	
5,432E+00	4,943E+00	
5,444E+00	6,413E+00	
5,457E+00	6,543E+00	
5,469E+00	3,339E+00	
5,481E+00	3,416E+00	
5,493E+00	2,905E+00	
5,505E+00	2,928E+00	
5,518E+00	5,737E+00	
5,530E+00	5,736E+00	
5,542E+00	4,323E+00	
5,554E+00	4,676E+00	
5,566E+00	1,524E+00	
5,579E+00	1,830E+00	
5,591E+00	3,887E+00	
5,603E+00	4,107E+00	
5,615E+00	4,246E+00	
5,627E+00	5,039E+00	
5,640E+00	2,486E+00	
5,652E+00	2,650E+00	
5,664E+00	1,589E+00	
5,676E+00	2,358E+00	
5,688E+00	2,955E+00	
5,701E+00	3,719E+00	
5,713E+00	2,435E+00	
5,725E+00	3,304E+00	
5,737E+00	1,109E+00	
5,750E+00	1,754E+00	
5,762E+00	1,344E+00	
5,774E+00	2,727E+00	
5,786E+00	1,748E+00	
5,798E+00	2,763E+00	
5,811E+00	1,064E+00	
5,823E+00	1,774E+00	
5,835E+00	7,824E-01	
5,847E+00	2,096E+00	
