[front_panel]
mode=T1 - R1
output=10 dB
gain=15 dB
probe1=2 MHz
probe2=no probe

[measure]
selection=1
samplerate=2
begin=0
end=150
sound speed=2750
units=0

[ascan]
fft filter=0
fft middle=1
fft width=1
fft gate=0
cepstrum filter=0
cepstrum middle=0
cepstrum width=20
cepstrum gate=20

Frequency [MHz]	FFT	
6,714E+00	4,996E-01	
6,726E+00	7,604E-01	
6,738E+00	7,886E-01	
6,750E+00	1,007E+00	
6,763E+00	5,305E-01	
6,775E+00	5,170E-01	
6,787E+00	3,419E-01	
6,799E+00	9,300E-01	
6,812E+00	1,176E+00	
6,824E+00	7,151E-01	
6,836E+00	6,359E-01	
6,848E+00	6,559E-01	
6,860E+00	1,083E+00	
6,873E+00	8,420E-01	
6,885E+00	1,064E+00	
6,897E+00	7,607E-01	
6,909E+00	7,977E-01	
6,921E+00	9,627E-01	
6,934E+00	5,524E-01	
6,946E+00	8,089E-01	
6,958E+00	1,144E+00	
6,970E+00	1,010E+00	
6,982E+00	9,791E-01	
6,995E+00	1,081E+00	
7,007E+00	1,397E+00	
7,019E+00	1,037E+00	
7,031E+00	8,303E-01	
7,043E+00	6,310E-01	
7,056E+00	6,668E-01	
7,068E+00	9,842E-01	
7,080E+00	1,161E+00	
7,092E+00	1,476E+00	
7,104E+00	1,084E+00	
7,117E+00	1,060E+00	
7,129E+00	1,125E+00	
7,141E+00	6,575E-01	
7,153E+00	8,208E-01	
7,166E+00	7,649E-01	
7,178E+00	8,021E-01	
7,190E+00	1,148E+00	
7,202E+00	6,742E-01	
7,214E+00	1,001E+00	
7,227E+00	8,687E-01	
7,239E+00	7,638E-01	
7,251E+00	9,465E-01	
7,263E+00	6,553E-01	
7,275E+00	1,090E+00	
7,288E+00	5,847E-01	
7,300E+00	6,540E-01	
7,312E+00	9,425E-01	
7,324E+00	6,341E-01	
7,336E+00	6,443E-01	
7,349E+00	8,402E-01	
7,361E+00	1,027E+00	
7,373E+00	7,675E-01	
7,385E+00	6,257E-01	
7,397E+00	7,414E-01	
7,410E+00	1,379E-01	
7,422E+00	6,352E-01	
7,434E+00	3,471E-01	
7,446E+00	8,531E-01	
7,458E+00	9,227E-01	
7,471E+00	8,244E-01	
7,483E+00	6,180E-01	
7,495E+00	3,817E-01	
7,507E+00	5,018E-01	
7,520E+00	3,442E-01	
7,532E+00	5,889E-01	
7,544E+00	8,846E-01	
7,556E+00	3,261E-01	
7,568E+00	6,723E-01	
7,581E+00	6,586E-01	
7,593E+00	6,716E-01	
7,605E+00	6,833E-01	
7,617E+00	1,404E-01	
7,629E+00	3,735E-01	
7,642E+00	8,603E-01	
7,654E+00	1,927E-01	
7,666E+00	5,488E-01	
7,678E+00	6,173E-01	
7,690E+00	3,483E-01	
7,703E+00	3,792E-01	
7,715E+00	8,532E-01	
7,727E+00	4,329E-01	
7,739E+00	5,630E-01	
7,751E+00	2,911E-01	
7,764E+00	3,573E-01	
7,776E+00	3,202E-01	
7,788E+00	4,491E-01	
7,800E+00	7,284E-01	
7,813E+00	6,776E-01	
7,825E+00	3,967E-01	
7,837E+00	5,188E-01	
7,849E+00	8,051E-02	
7,861E+00	2,870E-01	
7,874E+00	4,585E-01	
7,886E+00	5,956E-01	
