[front_panel]
mode=T1 - R1
output=10 dB
gain=25 dB
probe1=2 MHz
probe2=no probe

[measure]
selection=1
samplerate=2
begin=0
end=150
sound speed=2750
units=0

[ascan]
fft filter=0
fft middle=1
fft width=1
fft gate=0
cepstrum filter=0
cepstrum middle=0
cepstrum width=20
cepstrum gate=20

Distance | Gap | Interval [µs]	Cepstrum	
3,648E+01	8,062E+00	
3,656E+01	1,103E+01	
3,664E+01	1,536E+01	
3,672E+01	1,635E+01	
3,680E+01	1,701E+01	
3,688E+01	1,918E+01	
3,696E+01	1,598E+01	
3,704E+01	1,974E+01	
3,712E+01	1,888E+01	
3,720E+01	1,729E+01	
3,728E+01	1,698E+01	
3,736E+01	1,359E+01	
3,744E+01	1,248E+01	
3,752E+01	1,587E+01	
3,760E+01	2,067E+01	
3,768E+01	2,489E+01	
3,776E+01	1,701E+01	
3,784E+01	1,623E+01	
3,792E+01	9,023E+00	
3,800E+01	7,944E+00	
3,808E+01	5,286E+00	
3,816E+01	5,373E+00	
3,824E+01	1,683E+01	
3,832E+01	1,806E+01	
3,840E+01	2,254E+01	
3,848E+01	1,681E+01	
3,856E+01	8,608E+00	
3,864E+01	5,294E+00	
3,872E+01	1,090E+01	
3,880E+01	4,213E+00	
3,888E+01	1,094E+01	
3,896E+01	1,111E+01	
3,904E+01	5,603E+00	
3,912E+01	9,057E+00	
3,920E+01	5,693E+00	
3,928E+01	1,156E+01	
3,936E+01	1,249E+01	
3,944E+01	2,469E+01	
3,952E+01	3,279E+01	
3,960E+01	4,033E+01	
3,968E+01	6,476E+01	
3,976E+01	4,383E+01	
3,984E+01	3,377E+01	
3,992E+01	5,258E+01	
4,000E+01	7,360E+01	
4,008E+01	8,514E+01	
4,016E+01	1,073E+02	
4,024E+01	1,183E+02	
4,032E+01	1,210E+02	
4,040E+01	1,023E+02	
4,048E+01	1,185E+02	
4,056E+01	1,076E+02	
4,064E+01	1,257E+02	
4,072E+01	1,632E+02	
4,080E+01	1,114E+02	
4,088E+01	1,177E+02	
